Dis,Terminal ID,Terminal,Time slot,Nb of releases,Nb of bike returns,Balance
Vilnius,16,16-TAURO KALNAS,20H - 21H,264,315,51
Vilnius,16,16-TAURO KALNAS,21H - 22H,196,200,4
Vilnius,16,16-TAURO KALNAS,22H - 23H,145,127,-18
Vilnius,16,16-TAURO KALNAS,23H - 24H,86,94,8
Vilnius,17,17-P. CVIRKOS,00H - 01H,132,72,-60
Vilnius,17,17-P. CVIRKOS,01H - 02H,79,56,-23
Vilnius,17,17-P. CVIRKOS,02H - 03H,70,32,-38
Vilnius,17,17-P. CVIRKOS,03H - 04H,62,24,-38
Vilnius,17,17-P. CVIRKOS,04H - 05H,52,12,-40
Vilnius,17,17-P. CVIRKOS,05H - 06H,32,6,-26
Vilnius,17,17-P. CVIRKOS,06H - 07H,68,76,8
Vilnius,17,17-P. CVIRKOS,07H - 08H,269,486,217
Vilnius,17,17-P. CVIRKOS,08H - 09H,445,626,181
Vilnius,17,17-P. CVIRKOS,09H - 10H,319,592,273
Vilnius,17,17-P. CVIRKOS,10H - 11H,209,286,77
Vilnius,17,17-P. CVIRKOS,11H - 12H,295,408,113
Vilnius,17,17-P. CVIRKOS,12H - 13H,485,407,-78
Vilnius,17,17-P. CVIRKOS,13H - 14H,389,362,-27
Vilnius,17,17-P. CVIRKOS,14H - 15H,297,327,30
Vilnius,17,17-P. CVIRKOS,15H - 16H,292,330,38
Vilnius,17,17-P. CVIRKOS,16H - 17H,489,422,-67
Vilnius,17,17-P. CVIRKOS,17H - 18H,916,510,-406
Vilnius,17,17-P. CVIRKOS,18H - 19H,615,518,-97
Vilnius,17,17-P. CVIRKOS,19H - 20H,463,409,-54
Vilnius,17,17-P. CVIRKOS,20H - 21H,318,349,31
Vilnius,17,17-P. CVIRKOS,21H - 22H,244,284,40
Vilnius,17,17-P. CVIRKOS,22H - 23H,184,200,16
Vilnius,17,17-P. CVIRKOS,23H - 24H,177,108,-69
Vilnius,18,18-VILNIAUS G.,00H - 01H,271,95,-176
Vilnius,18,18-VILNIAUS G.,01H - 02H,158,69,-89
Vilnius,18,18-VILNIAUS G.,02H - 03H,83,52,-31
Vilnius,18,18-VILNIAUS G.,03H - 04H,66,27,-39
Vilnius,18,18-VILNIAUS G.,04H - 05H,48,20,-28
Vilnius,18,18-VILNIAUS G.,05H - 06H,22,5,-17
Vilnius,18,18-VILNIAUS G.,06H - 07H,97,106,9
Vilnius,18,18-VILNIAUS G.,07H - 08H,223,362,139
Vilnius,18,18-VILNIAUS G.,08H - 09H,412,569,157
Vilnius,18,18-VILNIAUS G.,09H - 10H,363,668,305
Vilnius,18,18-VILNIAUS G.,10H - 11H,217,333,116
Vilnius,18,18-VILNIAUS G.,11H - 12H,307,414,107
Vilnius,18,18-VILNIAUS G.,12H - 13H,623,616,-7
Vilnius,18,18-VILNIAUS G.,13H - 14H,542,489,-53
Vilnius,18,18-VILNIAUS G.,14H - 15H,426,442,16
Vilnius,18,18-VILNIAUS G.,15H - 16H,509,449,-60
Vilnius,18,18-VILNIAUS G.,16H - 17H,554,520,-34
Vilnius,18,18-VILNIAUS G.,17H - 18H,898,688,-210
Vilnius,18,18-VILNIAUS G.,18H - 19H,825,779,-46
Vilnius,18,18-VILNIAUS G.,19H - 20H,560,651,91
Vilnius,18,18-VILNIAUS G.,20H - 21H,521,551,30
Vilnius,18,18-VILNIAUS G.,21H - 22H,494,482,-12
Vilnius,18,18-VILNIAUS G.,22H - 23H,372,332,-40
Vilnius,18,18-VILNIAUS G.,23H - 24H,336,199,-137
Vilnius,19,19-S. NERIES GIMNAZIJA,00H - 01H,201,116,-85
Vilnius,19,19-S. NERIES GIMNAZIJA,01H - 02H,161,69,-92
Vilnius,19,19-S. NERIES GIMNAZIJA,02H - 03H,101,36,-65
Vilnius,19,19-S. NERIES GIMNAZIJA,03H - 04H,75,20,-55
Vilnius,19,19-S. NERIES GIMNAZIJA,04H - 05H,54,10,-44
Vilnius,19,19-S. NERIES GIMNAZIJA,05H - 06H,49,5,-44
Vilnius,19,19-S. NERIES GIMNAZIJA,06H - 07H,101,215,114
Vilnius,19,19-S. NERIES GIMNAZIJA,07H - 08H,230,357,127
Vilnius,19,19-S. NERIES GIMNAZIJA,08H - 09H,722,559,-163
Vilnius,19,19-S. NERIES GIMNAZIJA,09H - 10H,677,691,14
Vilnius,19,19-S. NERIES GIMNAZIJA,10H - 11H,320,598,278
Vilnius,19,19-S. NERIES GIMNAZIJA,11H - 12H,342,536,194
Vilnius,19,19-S. NERIES GIMNAZIJA,12H - 13H,567,601,34
Vilnius,19,19-S. NERIES GIMNAZIJA,13H - 14H,643,572,-71
Vilnius,19,19-S. NERIES GIMNAZIJA,14H - 15H,548,537,-11
Vilnius,19,19-S. NERIES GIMNAZIJA,15H - 16H,574,522,-52
Vilnius,19,19-S. NERIES GIMNAZIJA,16H - 17H,744,794,50
Vilnius,19,19-S. NERIES GIMNAZIJA,17H - 18H,1034,975,-59
Vilnius,19,19-S. NERIES GIMNAZIJA,18H - 19H,995,1017,22
Vilnius,19,19-S. NERIES GIMNAZIJA,19H - 20H,628,848,220
Vilnius,19,19-S. NERIES GIMNAZIJA,20H - 21H,638,681,43
Vilnius,19,19-S. NERIES GIMNAZIJA,21H - 22H,550,502,-48
Vilnius,19,19-S. NERIES GIMNAZIJA,22H - 23H,455,312,-143
Vilnius,19,19-S. NERIES GIMNAZIJA,23H - 24H,330,162,-168
Vilnius,20,20-TRAKU,00H - 01H,147,119,-28
Vilnius,20,20-TRAKU,01H - 02H,86,66,-20
Vilnius,20,20-TRAKU,02H - 03H,40,43,3
Vilnius,20,20-TRAKU,03H - 04H,25,22,-3
Vilnius,20,20-TRAKU,04H - 05H,29,22,-7
Vilnius,20,20-TRAKU,05H - 06H,44,18,-26
Vilnius,20,20-TRAKU,06H - 07H,51,433,382
Vilnius,20,20-TRAKU,07H - 08H,731,776,45
Vilnius,20,20-TRAKU,08H - 09H,1457,904,-553
Vilnius,20,20-TRAKU,09H - 10H,772,818,46
Vilnius,20,20-TRAKU,10H - 11H,470,476,6
Vilnius,20,20-TRAKU,11H - 12H,396,498,102
Vilnius,20,20-TRAKU,12H - 13H,620,519,-101
Vilnius,20,20-TRAKU,13H - 14H,599,532,-67
Vilnius,20,20-TRAKU,14H - 15H,585,494,-91
Vilnius,20,20-TRAKU,15H - 16H,500,597,97
Vilnius,20,20-TRAKU,16H - 17H,835,794,-41
Vilnius,20,20-TRAKU,17H - 18H,938,1273,335
Vilnius,20,20-TRAKU,18H - 19H,1179,1030,-149
Vilnius,20,20-TRAKU,19H - 20H,735,709,-26
Vilnius,20,20-TRAKU,20H - 21H,598,629,31
Vilnius,20,20-TRAKU,21H - 22H,444,509,65
Vilnius,20,20-TRAKU,22H - 23H,300,303,3
Vilnius,20,20-TRAKU,23H - 24H,223,208,-15
Vilnius,21,21-VAŠINGTONO A.,00H - 01H,34,55,21
Vilnius,21,21-VAŠINGTONO A.,01H - 02H,28,26,-2
Vilnius,21,21-VAŠINGTONO A.,02H - 03H,9,14,5
Vilnius,21,21-VAŠINGTONO A.,03H - 04H,15,22,7
Vilnius,21,21-VAŠINGTONO A.,04H - 05H,4,8,4
Vilnius,21,21-VAŠINGTONO A.,05H - 06H,7,9,2
Vilnius,21,21-VAŠINGTONO A.,06H - 07H,302,38,-264
Vilnius,21,21-VAŠINGTONO A.,07H - 08H,327,484,157
Vilnius,21,21-VAŠINGTONO A.,08H - 09H,795,999,204
Vilnius,21,21-VAŠINGTONO A.,09H - 10H,483,567,84
Vilnius,21,21-VAŠINGTONO A.,10H - 11H,409,340,-69
Vilnius,21,21-VAŠINGTONO A.,11H - 12H,458,400,-58
Vilnius,21,21-VAŠINGTONO A.,12H - 13H,665,611,-54
Vilnius,21,21-VAŠINGTONO A.,13H - 14H,463,459,-4
Vilnius,21,21-VAŠINGTONO A.,14H - 15H,318,342,24
Vilnius,21,21-VAŠINGTONO A.,15H - 16H,408,393,-15
Vilnius,21,21-VAŠINGTONO A.,16H - 17H,661,511,-150
Vilnius,21,21-VAŠINGTONO A.,17H - 18H,937,837,-100
Vilnius,21,21-VAŠINGTONO A.,18H - 19H,648,577,-71
Vilnius,21,21-VAŠINGTONO A.,19H - 20H,458,500,42
Vilnius,21,21-VAŠINGTONO A.,20H - 21H,306,424,118
Vilnius,21,21-VAŠINGTONO A.,21H - 22H,259,303,44
Vilnius,21,21-VAŠINGTONO A.,22H - 23H,133,195,62
Vilnius,21,21-VAŠINGTONO A.,23H - 24H,68,86,18
Vilnius,22,22-VCUP,00H - 01H,77,72,-5
Vilnius,22,22-VCUP,01H - 02H,41,52,11
Vilnius,22,22-VCUP,02H - 03H,21,26,5
Vilnius,22,22-VCUP,03H - 04H,14,17,3
Vilnius,22,22-VCUP,04H - 05H,5,13,8
Vilnius,22,22-VCUP,05H - 06H,12,28,16
Vilnius,22,22-VCUP,06H - 07H,332,85,-247
Vilnius,22,22-VCUP,07H - 08H,543,537,-6
Vilnius,22,22-VCUP,08H - 09H,681,1166,485
Vilnius,22,22-VCUP,09H - 10H,606,653,47
Vilnius,22,22-VCUP,10H - 11H,602,469,-133
Vilnius,22,22-VCUP,11H - 12H,699,792,93
Vilnius,22,22-VCUP,12H - 13H,1084,1145,61
Vilnius,22,22-VCUP,13H - 14H,881,833,-48
Vilnius,22,22-VCUP,14H - 15H,906,829,-77
Vilnius,22,22-VCUP,15H - 16H,1016,890,-126
Vilnius,22,22-VCUP,16H - 17H,1093,1015,-78
Vilnius,22,22-VCUP,17H - 18H,1443,1451,8
Vilnius,22,22-VCUP,18H - 19H,1384,1566,182
Vilnius,22,22-VCUP,19H - 20H,1285,1245,-40
Vilnius,22,22-VCUP,20H - 21H,992,1025,33
Vilnius,22,22-VCUP,21H - 22H,752,658,-94
Vilnius,22,22-VCUP,22H - 23H,388,314,-74
Vilnius,22,22-VCUP,23H - 24H,142,146,4
Vilnius,23,23-EUROPOS A.,00H - 01H,45,63,18
Vilnius,23,23-EUROPOS A.,01H - 02H,30,37,7
Vilnius,23,23-EUROPOS A.,02H - 03H,14,22,8
Vilnius,23,23-EUROPOS A.,03H - 04H,6,8,2
Vilnius,23,23-EUROPOS A.,04H - 05H,2,7,5
Vilnius,23,23-EUROPOS A.,05H - 06H,11,12,1
Vilnius,23,23-EUROPOS A.,06H - 07H,207,118,-89
Vilnius,23,23-EUROPOS A.,07H - 08H,360,429,69
Vilnius,23,23-EUROPOS A.,08H - 09H,789,1245,456
Vilnius,23,23-EUROPOS A.,09H - 10H,601,783,182
Vilnius,23,23-EUROPOS A.,10H - 11H,418,365,-53
Vilnius,23,23-EUROPOS A.,11H - 12H,672,465,-207
Vilnius,23,23-EUROPOS A.,12H - 13H,728,615,-113
Vilnius,23,23-EUROPOS A.,13H - 14H,588,601,13
Vilnius,23,23-EUROPOS A.,14H - 15H,543,702,159
Vilnius,23,23-EUROPOS A.,15H - 16H,634,924,290
Vilnius,23,23-EUROPOS A.,16H - 17H,855,715,-140
Vilnius,23,23-EUROPOS A.,17H - 18H,1585,941,-644
Vilnius,23,23-EUROPOS A.,18H - 19H,1138,1149,11
Vilnius,23,23-EUROPOS A.,19H - 20H,666,771,105
Vilnius,23,23-EUROPOS A.,20H - 21H,545,532,-13
Vilnius,23,23-EUROPOS A.,21H - 22H,476,270,-206
Vilnius,23,23-EUROPOS A.,22H - 23H,143,215,72
Vilnius,23,23-EUROPOS A.,23H - 24H,108,165,57
Vilnius,24,24-FORUM PALACE,00H - 01H,10,27,17
Vilnius,24,24-FORUM PALACE,01H - 02H,9,9,0
Vilnius,24,24-FORUM PALACE,02H - 03H,2,7,5
Vilnius,24,24-FORUM PALACE,03H - 04H,3,9,6
Vilnius,24,24-FORUM PALACE,04H - 05H,1,3,2
Vilnius,24,24-FORUM PALACE,05H - 06H,1,5,4
Vilnius,24,24-FORUM PALACE,06H - 07H,112,41,-71
Vilnius,24,24-FORUM PALACE,07H - 08H,221,61,-160
Vilnius,24,24-FORUM PALACE,08H - 09H,322,523,201
Vilnius,24,24-FORUM PALACE,09H - 10H,376,514,138
Vilnius,24,24-FORUM PALACE,10H - 11H,213,162,-51
Vilnius,24,24-FORUM PALACE,11H - 12H,257,171,-86
Vilnius,24,24-FORUM PALACE,12H - 13H,275,246,-29
Vilnius,24,24-FORUM PALACE,13H - 14H,273,299,26
Vilnius,24,24-FORUM PALACE,14H - 15H,285,246,-39
Vilnius,24,24-FORUM PALACE,15H - 16H,230,239,9
Vilnius,24,24-FORUM PALACE,16H - 17H,217,367,150
Vilnius,24,24-FORUM PALACE,17H - 18H,470,384,-86
Vilnius,24,24-FORUM PALACE,18H - 19H,664,486,-178
Vilnius,24,24-FORUM PALACE,19H - 20H,294,339,45
Vilnius,24,24-FORUM PALACE,20H - 21H,218,252,34
Vilnius,24,24-FORUM PALACE,21H - 22H,108,154,46
Vilnius,24,24-FORUM PALACE,22H - 23H,68,81,13
Vilnius,24,24-FORUM PALACE,23H - 24H,22,32,10
Vilnius,25,25-PANORAMA,00H - 01H,22,104,82
Vilnius,25,25-PANORAMA,01H - 02H,8,61,53
Vilnius,25,25-PANORAMA,02H - 03H,10,41,31
Vilnius,25,25-PANORAMA,03H - 04H,11,47,36
Vilnius,25,25-PANORAMA,04H - 05H,4,20,16
Vilnius,25,25-PANORAMA,05H - 06H,5,18,13
Vilnius,25,25-PANORAMA,06H - 07H,104,121,17
Vilnius,25,25-PANORAMA,07H - 08H,371,147,-224
Vilnius,25,25-PANORAMA,08H - 09H,515,233,-282
Vilnius,25,25-PANORAMA,09H - 10H,365,297,-68
Vilnius,25,25-PANORAMA,10H - 11H,229,287,58
Vilnius,25,25-PANORAMA,11H - 12H,320,219,-101
Vilnius,25,25-PANORAMA,12H - 13H,343,484,141
Vilnius,25,25-PANORAMA,13H - 14H,345,411,66
Vilnius,25,25-PANORAMA,14H - 15H,328,335,7
Vilnius,25,25-PANORAMA,15H - 16H,362,347,-15
Vilnius,25,25-PANORAMA,16H - 17H,406,498,92
Vilnius,25,25-PANORAMA,17H - 18H,663,804,141
Vilnius,25,25-PANORAMA,18H - 19H,731,664,-67
Vilnius,25,25-PANORAMA,19H - 20H,537,458,-79
Vilnius,25,25-PANORAMA,20H - 21H,441,449,8
Vilnius,25,25-PANORAMA,21H - 22H,287,328,41
Vilnius,25,25-PANORAMA,22H - 23H,224,206,-18
Vilnius,25,25-PANORAMA,23H - 24H,60,116,56
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,00H - 01H,35,140,105
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,01H - 02H,10,87,77
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,02H - 03H,8,63,55
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,03H - 04H,1,38,37
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,04H - 05H,2,19,17
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,05H - 06H,3,12,9
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,06H - 07H,152,51,-101
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,07H - 08H,599,232,-367
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,08H - 09H,993,546,-447
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,09H - 10H,565,514,-51
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,10H - 11H,354,264,-90
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,11H - 12H,409,269,-140
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,12H - 13H,547,462,-85
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,13H - 14H,418,590,172
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,14H - 15H,424,418,-6
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,15H - 16H,400,474,74
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,16H - 17H,544,705,161
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,17H - 18H,882,964,82
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,18H - 19H,1006,873,-133
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,19H - 20H,653,613,-40
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,20H - 21H,463,537,74
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,21H - 22H,316,523,207
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,22H - 23H,143,369,226
Vilnius,26,26-EDUKOLOGIJOS UNIVERSITETAS,23H - 24H,81,224,143
Vilnius,27,27-ŽALIASIS TILTAS,00H - 01H,38,100,62
Vilnius,27,27-ŽALIASIS TILTAS,01H - 02H,11,50,39
Vilnius,27,27-ŽALIASIS TILTAS,02H - 03H,8,26,18
Vilnius,27,27-ŽALIASIS TILTAS,03H - 04H,11,11,0
Vilnius,27,27-ŽALIASIS TILTAS,04H - 05H,5,8,3
Vilnius,27,27-ŽALIASIS TILTAS,05H - 06H,6,18,12
Vilnius,27,27-ŽALIASIS TILTAS,06H - 07H,96,104,8
Vilnius,27,27-ŽALIASIS TILTAS,07H - 08H,815,358,-457
Vilnius,27,27-ŽALIASIS TILTAS,08H - 09H,735,656,-79
Vilnius,27,27-ŽALIASIS TILTAS,09H - 10H,604,617,13
Vilnius,27,27-ŽALIASIS TILTAS,10H - 11H,365,416,51
Vilnius,27,27-ŽALIASIS TILTAS,11H - 12H,345,407,62
Vilnius,27,27-ŽALIASIS TILTAS,12H - 13H,402,465,63
Vilnius,27,27-ŽALIASIS TILTAS,13H - 14H,387,409,22
Vilnius,27,27-ŽALIASIS TILTAS,14H - 15H,431,418,-13
Vilnius,27,27-ŽALIASIS TILTAS,15H - 16H,411,511,100
Vilnius,27,27-ŽALIASIS TILTAS,16H - 17H,507,605,98
Vilnius,27,27-ŽALIASIS TILTAS,17H - 18H,835,719,-116
Vilnius,27,27-ŽALIASIS TILTAS,18H - 19H,686,809,123
Vilnius,27,27-ŽALIASIS TILTAS,19H - 20H,516,497,-19
Vilnius,27,27-ŽALIASIS TILTAS,20H - 21H,455,409,-46
Vilnius,27,27-ŽALIASIS TILTAS,21H - 22H,315,304,-11
Vilnius,27,27-ŽALIASIS TILTAS,22H - 23H,233,247,14
Vilnius,27,27-ŽALIASIS TILTAS,23H - 24H,102,155,53
Vilnius,28,28-OPEROS IR BALETO TEATRAS,00H - 01H,24,52,28
Vilnius,28,28-OPEROS IR BALETO TEATRAS,01H - 02H,17,28,11
Vilnius,28,28-OPEROS IR BALETO TEATRAS,02H - 03H,9,14,5
Vilnius,28,28-OPEROS IR BALETO TEATRAS,03H - 04H,10,8,-2
Vilnius,28,28-OPEROS IR BALETO TEATRAS,04H - 05H,9,11,2
Vilnius,28,28-OPEROS IR BALETO TEATRAS,05H - 06H,3,3,0
Vilnius,28,28-OPEROS IR BALETO TEATRAS,06H - 07H,103,11,-92
Vilnius,28,28-OPEROS IR BALETO TEATRAS,07H - 08H,136,83,-53
Vilnius,28,28-OPEROS IR BALETO TEATRAS,08H - 09H,262,167,-95
Vilnius,28,28-OPEROS IR BALETO TEATRAS,09H - 10H,219,272,53
Vilnius,28,28-OPEROS IR BALETO TEATRAS,10H - 11H,162,181,19
Vilnius,28,28-OPEROS IR BALETO TEATRAS,11H - 12H,163,157,-6
Vilnius,28,28-OPEROS IR BALETO TEATRAS,12H - 13H,198,210,12
Vilnius,28,28-OPEROS IR BALETO TEATRAS,13H - 14H,200,202,2
Vilnius,28,28-OPEROS IR BALETO TEATRAS,14H - 15H,191,202,11
Vilnius,28,28-OPEROS IR BALETO TEATRAS,15H - 16H,156,201,45
Vilnius,28,28-OPEROS IR BALETO TEATRAS,16H - 17H,184,258,74
Vilnius,28,28-OPEROS IR BALETO TEATRAS,17H - 18H,326,370,44
Vilnius,28,28-OPEROS IR BALETO TEATRAS,18H - 19H,397,318,-79
Vilnius,28,28-OPEROS IR BALETO TEATRAS,19H - 20H,247,232,-15
Vilnius,28,28-OPEROS IR BALETO TEATRAS,20H - 21H,205,228,23
Vilnius,28,28-OPEROS IR BALETO TEATRAS,21H - 22H,167,162,-5
Vilnius,28,28-OPEROS IR BALETO TEATRAS,22H - 23H,101,85,-16
Vilnius,28,28-OPEROS IR BALETO TEATRAS,23H - 24H,49,77,28
Vilnius,29,29-ŽALGIRIO STADIONAS,00H - 01H,20,90,70
Vilnius,29,29-ŽALGIRIO STADIONAS,01H - 02H,12,54,42
Vilnius,29,29-ŽALGIRIO STADIONAS,02H - 03H,8,52,44
Vilnius,29,29-ŽALGIRIO STADIONAS,03H - 04H,2,17,15
Vilnius,29,29-ŽALGIRIO STADIONAS,04H - 05H,4,31,27
Vilnius,29,29-ŽALGIRIO STADIONAS,05H - 06H,7,6,-1
Vilnius,29,29-ŽALGIRIO STADIONAS,06H - 07H,105,77,-28
Vilnius,29,29-ŽALGIRIO STADIONAS,07H - 08H,631,407,-224
Vilnius,29,29-ŽALGIRIO STADIONAS,08H - 09H,746,516,-230
Vilnius,29,29-ŽALGIRIO STADIONAS,09H - 10H,417,380,-37
Vilnius,29,29-ŽALGIRIO STADIONAS,10H - 11H,291,246,-45
Vilnius,29,29-ŽALGIRIO STADIONAS,11H - 12H,486,302,-184
Vilnius,29,29-ŽALGIRIO STADIONAS,12H - 13H,448,615,167
Vilnius,29,29-ŽALGIRIO STADIONAS,13H - 14H,358,362,4
Vilnius,29,29-ŽALGIRIO STADIONAS,14H - 15H,272,305,33
Vilnius,29,29-ŽALGIRIO STADIONAS,15H - 16H,380,341,-39
Vilnius,29,29-ŽALGIRIO STADIONAS,16H - 17H,575,535,-40
Vilnius,29,29-ŽALGIRIO STADIONAS,17H - 18H,787,782,-5
Vilnius,29,29-ŽALGIRIO STADIONAS,18H - 19H,762,792,30
Vilnius,29,29-ŽALGIRIO STADIONAS,19H - 20H,482,561,79
Vilnius,29,29-ŽALGIRIO STADIONAS,20H - 21H,416,439,23
Vilnius,29,29-ŽALGIRIO STADIONAS,21H - 22H,265,324,59
Vilnius,29,29-ŽALGIRIO STADIONAS,22H - 23H,115,257,142
Vilnius,29,29-ŽALGIRIO STADIONAS,23H - 24H,53,154,101
Vilnius,30,30-IKI MINSKAS,00H - 01H,49,165,116
Vilnius,30,30-IKI MINSKAS,01H - 02H,24,103,79
Vilnius,30,30-IKI MINSKAS,02H - 03H,9,48,39
Vilnius,30,30-IKI MINSKAS,03H - 04H,4,38,34
Vilnius,30,30-IKI MINSKAS,04H - 05H,7,29,22
Vilnius,30,30-IKI MINSKAS,05H - 06H,16,20,4
Vilnius,30,30-IKI MINSKAS,06H - 07H,270,242,-28
Vilnius,30,30-IKI MINSKAS,07H - 08H,1203,261,-942
Vilnius,30,30-IKI MINSKAS,08H - 09H,1217,604,-613
Vilnius,30,30-IKI MINSKAS,09H - 10H,614,608,-6
Vilnius,30,30-IKI MINSKAS,10H - 11H,434,366,-68
Vilnius,30,30-IKI MINSKAS,11H - 12H,346,340,-6
Vilnius,30,30-IKI MINSKAS,12H - 13H,371,346,-25
Vilnius,30,30-IKI MINSKAS,13H - 14H,370,371,1
Vilnius,30,30-IKI MINSKAS,14H - 15H,510,413,-97
Vilnius,30,30-IKI MINSKAS,15H - 16H,624,581,-43
Vilnius,30,30-IKI MINSKAS,16H - 17H,738,948,210
Vilnius,30,30-IKI MINSKAS,17H - 18H,1119,1794,675
Vilnius,30,30-IKI MINSKAS,18H - 19H,1395,1433,38
Vilnius,30,30-IKI MINSKAS,19H - 20H,966,972,6
Vilnius,30,30-IKI MINSKAS,20H - 21H,942,918,-24
Vilnius,30,30-IKI MINSKAS,21H - 22H,467,716,249
Vilnius,30,30-IKI MINSKAS,22H - 23H,215,432,217
Vilnius,30,30-IKI MINSKAS,23H - 24H,73,217,144
Vilnius,31,31-OLANDU ŽIEDAS,00H - 01H,29,121,92
Vilnius,31,31-OLANDU ŽIEDAS,01H - 02H,18,90,72
Vilnius,31,31-OLANDU ŽIEDAS,02H - 03H,11,58,47
Vilnius,31,31-OLANDU ŽIEDAS,03H - 04H,2,29,27
Vilnius,31,31-OLANDU ŽIEDAS,04H - 05H,2,29,27
Vilnius,31,31-OLANDU ŽIEDAS,05H - 06H,15,16,1
Vilnius,31,31-OLANDU ŽIEDAS,06H - 07H,102,225,123
Vilnius,31,31-OLANDU ŽIEDAS,07H - 08H,1017,257,-760
Vilnius,31,31-OLANDU ŽIEDAS,08H - 09H,1441,511,-930
Vilnius,31,31-OLANDU ŽIEDAS,09H - 10H,605,684,79
Vilnius,31,31-OLANDU ŽIEDAS,10H - 11H,368,425,57
Vilnius,31,31-OLANDU ŽIEDAS,11H - 12H,347,269,-78
Vilnius,31,31-OLANDU ŽIEDAS,12H - 13H,418,312,-106
Vilnius,31,31-OLANDU ŽIEDAS,13H - 14H,352,354,2
Vilnius,31,31-OLANDU ŽIEDAS,14H - 15H,404,383,-21
Vilnius,31,31-OLANDU ŽIEDAS,15H - 16H,455,400,-55
Vilnius,31,31-OLANDU ŽIEDAS,16H - 17H,576,568,-8
Vilnius,31,31-OLANDU ŽIEDAS,17H - 18H,633,1239,606
Vilnius,31,31-OLANDU ŽIEDAS,18H - 19H,756,1009,253
Vilnius,31,31-OLANDU ŽIEDAS,19H - 20H,603,608,5
Vilnius,31,31-OLANDU ŽIEDAS,20H - 21H,481,514,33
Vilnius,31,31-OLANDU ŽIEDAS,21H - 22H,295,471,176
Vilnius,31,31-OLANDU ŽIEDAS,22H - 23H,109,309,200
Vilnius,31,31-OLANDU ŽIEDAS,23H - 24H,64,220,156
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,00H - 01H,23,36,13
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,01H - 02H,6,32,26
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,02H - 03H,5,14,9
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,03H - 04H,2,7,5
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,04H - 05H,5,6,1
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,05H - 06H,1,14,13
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,06H - 07H,90,54,-36
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,07H - 08H,156,104,-52
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,08H - 09H,305,282,-23
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,09H - 10H,254,210,-44
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,10H - 11H,191,152,-39
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,11H - 12H,211,237,26
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,12H - 13H,300,243,-57
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,13H - 14H,231,193,-38
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,14H - 15H,175,233,58
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,15H - 16H,175,229,54
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,16H - 17H,258,286,28
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,17H - 18H,477,440,-37
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,18H - 19H,350,346,-4
Vilnius,33,33-LIETUVOS VAIKU IR JAUNIMO CENTRAS,19H - 20H,331,344,13
