Dis,Terminal ID,Terminal,Time slot,Nb of releases,Nb of bike returns,Balance
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,02H - 03H,89,52,-37
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,03H - 04H,62,29,-33
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,04H - 05H,54,25,-29
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,05H - 06H,27,19,-8
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,06H - 07H,54,96,42
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,07H - 08H,224,327,103
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,08H - 09H,818,580,-238
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,09H - 10H,754,765,11
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,10H - 11H,385,533,148
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,11H - 12H,469,445,-24
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,12H - 13H,638,666,28
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,13H - 14H,618,641,23
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,14H - 15H,602,542,-60
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,15H - 16H,669,532,-137
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,16H - 17H,749,725,-24
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,17H - 18H,774,933,159
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,18H - 19H,911,1093,182
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,19H - 20H,725,789,64
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,20H - 21H,688,718,30
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,21H - 22H,533,544,11
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,22H - 23H,394,373,-21
Vilnius,4,4-ŠV. KAZIMIERO BAŽNYCIA,23H - 24H,262,184,-78
Vilnius,5,5-FILHARMONIJA,00H - 01H,102,57,-45
Vilnius,5,5-FILHARMONIJA,01H - 02H,74,42,-32
Vilnius,5,5-FILHARMONIJA,02H - 03H,26,19,-7
Vilnius,5,5-FILHARMONIJA,03H - 04H,18,17,-1
Vilnius,5,5-FILHARMONIJA,04H - 05H,8,8,0
Vilnius,5,5-FILHARMONIJA,05H - 06H,4,9,5
Vilnius,5,5-FILHARMONIJA,06H - 07H,22,284,262
Vilnius,5,5-FILHARMONIJA,07H - 08H,213,321,108
Vilnius,5,5-FILHARMONIJA,08H - 09H,705,292,-413
Vilnius,5,5-FILHARMONIJA,09H - 10H,555,530,-25
Vilnius,5,5-FILHARMONIJA,10H - 11H,218,230,12
Vilnius,5,5-FILHARMONIJA,11H - 12H,283,239,-44
Vilnius,5,5-FILHARMONIJA,12H - 13H,359,354,-5
Vilnius,5,5-FILHARMONIJA,13H - 14H,301,248,-53
Vilnius,5,5-FILHARMONIJA,14H - 15H,304,266,-38
Vilnius,5,5-FILHARMONIJA,15H - 16H,279,285,6
Vilnius,5,5-FILHARMONIJA,16H - 17H,240,281,41
Vilnius,5,5-FILHARMONIJA,17H - 18H,401,454,53
Vilnius,5,5-FILHARMONIJA,18H - 19H,413,500,87
Vilnius,5,5-FILHARMONIJA,19H - 20H,425,440,15
Vilnius,5,5-FILHARMONIJA,20H - 21H,366,383,17
Vilnius,5,5-FILHARMONIJA,21H - 22H,238,270,32
Vilnius,5,5-FILHARMONIJA,22H - 23H,165,228,63
Vilnius,5,5-FILHARMONIJA,23H - 24H,153,119,-34
Vilnius,6,6-HALES TURGAVIETE,00H - 01H,72,68,-4
Vilnius,6,6-HALES TURGAVIETE,01H - 02H,42,46,4
Vilnius,6,6-HALES TURGAVIETE,02H - 03H,34,36,2
Vilnius,6,6-HALES TURGAVIETE,03H - 04H,14,21,7
Vilnius,6,6-HALES TURGAVIETE,04H - 05H,8,16,8
Vilnius,6,6-HALES TURGAVIETE,05H - 06H,12,6,-6
Vilnius,6,6-HALES TURGAVIETE,06H - 07H,40,160,120
Vilnius,6,6-HALES TURGAVIETE,07H - 08H,429,262,-167
Vilnius,6,6-HALES TURGAVIETE,08H - 09H,684,601,-83
Vilnius,6,6-HALES TURGAVIETE,09H - 10H,443,392,-51
Vilnius,6,6-HALES TURGAVIETE,10H - 11H,392,325,-67
Vilnius,6,6-HALES TURGAVIETE,11H - 12H,424,431,7
Vilnius,6,6-HALES TURGAVIETE,12H - 13H,443,523,80
Vilnius,6,6-HALES TURGAVIETE,13H - 14H,437,437,0
Vilnius,6,6-HALES TURGAVIETE,14H - 15H,416,318,-98
Vilnius,6,6-HALES TURGAVIETE,15H - 16H,367,365,-2
Vilnius,6,6-HALES TURGAVIETE,16H - 17H,416,412,-4
Vilnius,6,6-HALES TURGAVIETE,17H - 18H,488,632,144
Vilnius,6,6-HALES TURGAVIETE,18H - 19H,558,608,50
